symbol,snapshot_date,free_float,sub_sector,fetched_at,raw_response
BAYU.JK,2026-09-03,0.4861,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'BAYU.JK', 'free_float': 0.4861, 'company_name': 'Bayu Buana Tbk'}"
BTEK.JK,2026-09-03,0.4856,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'BTEK.JK', 'free_float': 0.4856, 'company_name': 'Bumi Teknokultura Unggul Tbk'}"
IKAN.JK,2026-09-03,0.4848,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'IKAN.JK', 'free_float': 0.4848, 'company_name': 'PT Era Mandiri Cemerlang Tbk'}"
FIRE.JK,2026-09-03,0.48422,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'FIRE.JK', 'free_float': 0.48422, 'company_name': 'PT Alfa Energi Investama Tbk'}"
ASII.JK,2026-09-03,0.4842,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'ASII.JK', 'free_float': 0.4842, 'company_name': 'Astra International Tbk'}"
TRAM.JK,2026-09-03,0.47807,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'TRAM.JK', 'free_float': 0.47807, 'company_name': 'Trada Alam Minera Tbk'}"
HDIT.JK,2026-09-03,0.4775,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'HDIT.JK', 'free_float': 0.4775, 'company_name': 'PT Hensel Davest Indonesia Tbk'}"
RBMS.JK,2026-09-03,0.4765,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'RBMS.JK', 'free_float': 0.4765, 'company_name': 'Ristia Bintang Mahkotasejati Tbk'}"
LPPF.JK,2026-09-03,0.4747,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'LPPF.JK', 'free_float': 0.4747, 'company_name': 'PT MDS Retailing Tbk'}"
CASA.JK,2026-09-03,0.4733,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'CASA.JK', 'free_float': 0.4733, 'company_name': 'PT Capital Financial Indonesia Tbk'}"
KUAS.JK,2026-09-03,0.47278,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'KUAS.JK', 'free_float': 0.47278, 'company_name': 'PT Ace Oldfields Tbk'}"
HADE.JK,2026-09-03,0.4717,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'HADE.JK', 'free_float': 0.4717, 'company_name': 'PT Himalaya Energi Perkasa Tbk'}"
LMSH.JK,2026-09-03,0.47135,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'LMSH.JK', 'free_float': 0.47135, 'company_name': 'Lionmesh Prima Tbk'}"
FUTR.JK,2026-09-03,0.47099,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'FUTR.JK', 'free_float': 0.47099, 'company_name': 'PT Futura Energi Global Tbk'}"
